Detection_Rate,N_Detected,Mean_Abundance,Median_Abundance,SD_Abundance,CV_Percent,Min_Abundance,Max_Abundance,Gene,Accession,Description
100.0,120,1702577815.7798538,1682283579.2652202,426381590.30482304,25.043295310970677,571171911.42715,3301087086.05773,TTN,Q8WZ42,Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4
100.0,120,274782200.08991885,276971226.133466,65647965.80549236,23.89090915787483,125576330.976149,421878815.645437,EIF2S2,P20042,Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2
100.0,120,461407638.4249981,468219212.168718,120095140.9268145,26.027991503728863,136397366.162973,850395983.32313,CETP,P11597,Cholesteryl ester transfer protein OS=Homo sapiens OX=9606 GN=CETP PE=1 SV=2
100.0,120,161312315.73870367,162543927.3616425,50966117.31076231,31.59468455794662,45869584.5052313,279194267.883205,ENPEP,Q07075,Glutamyl aminopeptidase OS=Homo sapiens OX=9606 GN=ENPEP PE=1 SV=3
100.0,120,447787772.9203764,436509603.727176,123178779.77843216,27.5082946046263,3155602.97912086,833600477.866132,CALD1,Q05682,Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3
100.0,120,188449643.7510905,195131088.275383,76028648.5572765,40.34427820818661,37966605.7800252,420189260.912703,PLEK,P08567,Pleckstrin OS=Homo sapiens OX=9606 GN=PLEK PE=1 SV=3
100.0,120,886004546.9866676,882353420.9764905,138394213.92721298,15.620034276110268,625082715.570011,1222300660.56869,S100A9,P06702,Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1
100.0,120,276388072.8316714,271094215.96215045,48401591.96639223,17.512185482718078,143743686.934497,409955153.458206,CCN2,P29279,CCN family member 2 OS=Homo sapiens OX=9606 GN=CCN2 PE=1 SV=2
100.0,120,113801823.2670946,99191375.68428946,51520595.3168732,45.2722055216581,42517175.5805061,298074628.582842,IGKV3-20,P01619,Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2
100.0,120,440050562.24636626,433000315.440276,136860433.20078695,31.10106995481224,65657642.4599552,854675664.903598,RAC2,P15153,Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens OX=9606 GN=RAC2 PE=1 SV=1
100.0,120,107671162.64229761,104195745.14261699,36958729.36992196,34.32555984623785,14570462.0812293,270488332.871527,JUP,P14923,Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3
100.0,120,333891987.4118248,307003896.775066,109178151.47367667,32.698643750026726,134987300.620279,826585072.965284,PARVB,Q9HBI1,Beta-parvin OS=Homo sapiens OX=9606 GN=PARVB PE=1 SV=1
97.5,117,3082552.55927946,2270369.27906808,3160842.9311424214,102.53979033146679,152629.631578754,16180170.4532121,CDHR2,Q9BYE9,Cadherin-related family member 2 OS=Homo sapiens OX=9606 GN=CDHR2 PE=1 SV=2
