Gene,Accession,Description,Log2FC,P_value,FDR,Cohens_d
OCEL1,Q9H607,Occludin/ELL domain-containing protein 1 OS=Homo sapiens OX=9606 GN=OCEL1 PE=1 SV=1,0.6211627810742222,0.008119035456883394,0.04016653255532685,0.7078440193234166
ADAM23,E7EWD3,ADAM metallopeptidase domain 23 OS=Homo sapiens OX=9606 GN=ADAM23 PE=1 SV=2,1.470163422204248,9.710554692670913e-07,2.517269401453608e-05,1.41439914077889
GPR182,Q7Z4H2,G protein-coupled receptor 182 OS=Homo sapiens OX=9606 GN=GPR182 PE=2 SV=1,-0.9523925384387333,0.0019769210513177695,0.014249933188910437,-0.8367482793432566
ZC3H7A,Q8IWR0,Zinc finger CCCH domain-containing protein 7A OS=Homo sapiens OX=9606 GN=ZC3H7A PE=1 SV=1,1.0857749538257657,1.3849165521386078e-05,0.0002478845019726744,1.226088692935146
RNF214,Q8ND24,RING finger protein 214 OS=Homo sapiens OX=9606 GN=RNF214 PE=1 SV=2,-1.1343595725887248,0.0015102708034494298,0.011413678513575127,-0.8600212093839001
FBXO24,O75426,F-box only protein 24 OS=Homo sapiens OX=9606 GN=FBXO24 PE=1 SV=2,0.7337112714392084,0.009130807086030646,0.043943733196516066,0.6965102011711923
HARBI1,E9PQI1,Harbinger transposase derived 1 (Fragment) OS=Homo sapiens OX=9606 GN=HARBI1 PE=1 SV=8,-2.7777998709787575,1.0194126677279605e-06,2.5373818432666266e-05,-1.4110251261066415
FGF2,A0A0A0MQV6,Fibroblast growth factor OS=Homo sapiens OX=9606 GN=FGF2 PE=1 SV=1,1.178980203343528,2.0111541820148258e-07,6.9647143738035166e-06,1.5226939656618133
RPL10A,P62906,Large ribosomal subunit protein uL1 OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,1.18888488632793,0.0005033323768474598,0.0050384103580248425,0.9516883598949443
ZNF491,Q8N8L2,Zinc finger protein 491 OS=Homo sapiens OX=9606 GN=ZNF491 PE=1 SV=1,-2.161808575689122,3.989675472564597e-09,1.9259251599380006e-07,-1.7867979322193106
PARP6,Q2NL67,Protein mono-ADP-ribosyltransferase PARP6 OS=Homo sapiens OX=9606 GN=PARP6 PE=1 SV=1,1.488200815705138,5.3609035673586495e-05,0.0007834788424589292,1.1262047174320968
CTSV,A0A7P0T8X8,Cathepsin V OS=Homo sapiens OX=9606 GN=CTSV PE=1 SV=1,0.7192666081934647,0.0020925703865905245,0.014749843477162412,0.8317879562851821
RASGRP4,Q8TDF6,RAS guanyl-releasing protein 4 OS=Homo sapiens OX=9606 GN=RASGRP4 PE=1 SV=2,1.132173358599763,0.00021492875380334947,0.0025798239855672356,1.019651477696445
MID1,A0A6Q8PF94,E3 ubiquitin-protein ligase Midline-1 OS=Homo sapiens OX=9606 GN=MID1 PE=1 SV=1,0.9467649114483336,0.0008948778988654483,0.00766419619834763,0.9042996392277286
